#month date day words
4 1 87 2090
4 10 96 2049
4 11 97 2093
4 12 98 2066
4 13 99 1844
4 14 100 2784
4 15 101 2831
4 16 102 2188
4 17 103 2216
4 18 104 2469
4 19 105 2059
4 2 88 1502
4 20 106 2029
4 21 107 1962
4 22 108 2471
4 23 109 2425
4 24 110 2315
4 25 111 2359
4 26 112 2358
4 28 113 1406
4 29 114 2053
4 3 89 1258
4 30 115 2914
4 4 90 1075
4 5 91 2185
4 7 92 2124
4 8 93 1293
4 9 94 2156
2 1 28 1107
2 10 37 3133
2 11 38 1209
2 12 39 1597
2 13 40 3939
2 14 41 1518
2 15 42 1502
2 16 43 3491
2 17 44 1130
2 18 45 1335
2 19 46 3348
2 2 29 1032
2 20 47 1874
2 21 48 2312
2 22 49 1035
2 23 50 2028
2 24 51 3628
2 25 52 1357
2 26 53 1781
2 27 54 1492
2 28 55 4371
2 3 30 1111
2 4 31 1113
2 5 32 990 
2 6 33 1307
2 7 34 2060
2 8 35 846 
2 9 36 1044
1 10 5 860 
1 11 7 1084
1 12 8 837 
1 13 9 796 
1 14 10 878 
1 15 11 937 
1 16 12 967 
1 17 13 1021
1 18 14 963 
1 19 15 1139
1 20 16 1093
1 21 17 1001
1 22 18 1052
1 23 19 891 
1 24 20 1445
1 25 21 894 
1 26 22 1033
1 27 23 1007
1 28 24 987 
1 29 25 1010
1 30 26 1134
1 31 27 963 
1 5 1 992 
1 6 2 995 
1 7 3 1112
1 8 4 825 
1 9 5 883 
7 1 172 2705
7 2 173 2719
7 3 174 3516
7 4 175	3476
7 5 176	3127
7 6 177 3081
7 7 178 3746
7 8 179 2566
7 9 180 2208
7 10 181 2936
7 11 182 3401
7 12 183 3813
7 13 184 3217
7 14 185 2967
7 15 186 2039
7 16 187 2647
7 17 188 2813
6 1 147 2410
6 10 156 2671
6 11 157 1763
6 12 158 2432
6 13 159 2037
6 14 160 2249
6 15 161 2631
6 16 162 2662
6 17 163 3621
6 18 164 2943
6 19 165 2431
6 2 148 2275
6 20 166 2528
6 21 167 1738
6 23 168 1828
6 24 169 2236
6 29 170 2893
6 3 149 2303
6 30 171 1807
6 4 150 3061
6 5 151 2686
6 6 152 3912
6 7 153 2476
6 8 154 2190
6 9 155 3321
3 1 56 1832
3 10 65 1858
3 11 67 2228
3 12 67 2355
3 13 68 1097
3 14 69 953 
3 15 70 1891
3 16 71 1857
3 17 72 2294
3 18 73 1260
3 19 74 2010
3 2 57 1583
3 20 75 2019
3 21 76 2023
3 22 77 1781
3 23 78 2513
3 24 79 2336
3 25 80 1751
3 26 81 2284
3 27 82 1879
3 28 83 2139
3 29 84 1817
3 3 58 3758
3 30 85 1459
3 31 86 1752
3 4 59 1901
3 5 60 2322
3 6 61 1975
3 7 62 1661
3 8 63 1448
3 9 64 1870
5 1 116 2606
5 10 125 2915
5 11 126 2302
5 12 127 2187
5 13 128 2665
5 14 129 2458
5 15 130 2367
5 16 131 2701
5 17 132 3115
5 18 133 2346
5 20 135 2159
5 21 136 2125
5 22 137 1977
5 23 138 863 
5 24 139 590 
5 25 140 705 
5 26 141 1466
5 27 142 2447
5 28 143 3054
5 29 144 1964
5 3 118 2847
5 30 145 2800
5 31 146 3395
5 4 119 2310
5 5 120 2321
5 6 121 2344
5 7 122 2343
5 8 123 1771
5 9 124 3335
